CSMILES,Tg
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.076$0.652$0.24$0.032,-21.83336299999999
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.076$0.7$0.184$0.04,-20.140879299999966
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.076$0.724$0.152$0.048,-9.361455499999977
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.076$0.876$0.024$0.024,1.2987974000000122
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.08$0.156$0.472$0.292,-69.05565039999999
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.08$0.156$0.552$0.212,-68.18280259360097
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.08$0.16$0.508$0.252,-65.20990199999997
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.08$0.188$0.448$0.284,-73.01910789999997
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.08$0.188$0.484$0.248,-61.17074839999998
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.08$0.188$0.512$0.22,-65.20522879999999
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.08$0.188$0.536$0.196,-67.09830402640097
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.08$0.216$0.424$0.28,-64.73429162480099
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.08$0.216$0.492$0.212,-65.13342697340099
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.08$0.216$0.548$0.156,-56.90527549999999
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.08$0.22$0.464$0.236,-60.82331979999998
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.08$0.22$0.516$0.184,-62.85916464820099
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.08$0.248$0.392$0.28,-61.16515819999998
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.08$0.248$0.416$0.256,-57.248433945200986
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.08$0.248$0.46$0.212,-60.46585249999998
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.08$0.248$0.484$0.188,-55.730204499999985
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.08$0.248$0.512$0.16,-59.62019139999998
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.08$0.248$0.544$0.128,-55.778891530000976
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.08$0.276$0.36$0.284,-63.15226976960099
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.08$0.276$0.424$0.22,-61.02142607240097
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.08$0.276$0.48$0.164,-54.89988599820097
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.08$0.28$0.4$0.24,-55.405725569600975
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.08$0.28$0.448$0.192,-53.98965489999998
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.08$0.28$0.504$0.136,-57.42873659999998
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.08$0.308$0.344$0.268,-57.96959899999999
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.08$0.308$0.372$0.24,-53.47305269999998
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.08$0.308$0.4$0.212,-58.90634339999997
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.08$0.308$0.436$0.176,-53.08371969999999
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.08$0.308$0.452$0.16,-55.17987683920097
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.08$0.308$0.488$0.124,-51.450311173600966
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.08$0.336$0.308$0.276,-53.90766099999999
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.08$0.336$0.368$0.216,-56.28432139999998
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.08$0.336$0.42$0.164,-48.60415039999998
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.08$0.34$0.34$0.24,-56.03912651740097
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.08$0.34$0.4$0.18,-51.03918189999999
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.08$0.34$0.456$0.124,-51.63747637440099
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.1$0.024$0.216$0.66,-83.60774769999998
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.1$0.024$0.428$0.448,-80.83641139999997
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.1$0.048$0.668$0.184,-72.83235829999998
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.1$0.052$0.584$0.264,-72.04149269999996
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.1$0.076$0.04$0.784,-83.15070749999998
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.1$0.076$0.068$0.756,-75.64643819999998
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.1$0.076$0.596$0.228,-68.00868489999996
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.1$0.1$0.444$0.356,-77.49641149999997
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.1$0.1$0.68$0.12,-70.04448639999998
*CC(*)c1ccccc1.*CC(*)C=C.*C/C=C\C*.*C/C=C/C*$0.1$0.168$0.48$0.252,-59.829047799999984
